iter	RMSE
0	0.456456855
1	0.4544660055
2	0.4521677522
3	0.4501267015
4	0.4486365447
5	0.4468809139
6	0.4451697968
7	0.4432844417
8	0.4414327668
9	0.4402947253
10	0.4385283151
11	0.4373503928
12	0.4355842502
13	0.4337289433
14	0.4327159683
15	0.4312564332
16	0.4298294978
17	0.4288917413
18	0.4275350572
19	0.4260470723
20	0.4247741869
21	0.423732319
22	0.4222196076
23	0.4212325605
24	0.419848657
25	0.418940383
26	0.4179506323
27	0.4167091661
28	0.4156791715
29	0.4147921393
30	0.4137953491
31	0.412102154
32	0.4111127515
33	0.4100889641
34	0.4093274619
35	0.4084488278
36	0.4071738575
37	0.4060620571
38	0.4050339421
39	0.4042961564
40	0.4032642761
41	0.4022640181
42	0.4014668496
43	0.4005876201
44	0.3999891344
45	0.3989754468
46	0.3979743649
47	0.397180153
48	0.3966194178
49	0.3958416667
50	0.3949261925
51	0.3940634159
52	0.3932950258
53	0.3923702387
54	0.3916853249
55	0.3906452407
56	0.3896019179
57	0.3887380601
58	0.3879980854
59	0.387072407
60	0.386218134
61	0.3853965971
62	0.3846550889
63	0.3839181333
64	0.382530865
65	0.3817454393
66	0.380577908
67	0.3797961597
68	0.3789421673
69	0.3781708054
70	0.3774777778
71	0.376595843
72	0.3758193059
73	0.3752396681
74	0.3746275052
75	0.3739888495
76	0.3729901957
77	0.3721973557
78	0.3714015823
79	0.3707174548
80	0.3699439357
81	0.369255488
82	0.3684636437
83	0.3677522426
84	0.3673199315
85	0.3664486735
86	0.3660156516
87	0.3652955481
88	0.3650149119
89	0.3644494691
90	0.3638639169
91	0.3632727599
92	0.3624219036
93	0.3617417276
94	0.3611677751
95	0.360624966
96	0.3600604747
97	0.3593982697
98	0.358693837
99	0.3586134462
100	0.3580587765
101	0.3572188015
102	0.3565223544
103	0.355932151
104	0.3553908
105	0.3547871308
106	0.3540805601
107	0.3534242358
108	0.352846976
109	0.3520045334
110	0.3515558404
111	0.3506307482
112	0.3501276721
113	0.3492773755
114	0.3488852297
115	0.3483511711
116	0.3479377577
117	0.3473363445
118	0.3464708718
119	0.3459360901
120	0.3454390204
121	0.3450337239
122	0.3444232306
123	0.3438816537
124	0.3433479704
125	0.3429053067
126	0.3423884405
127	0.3418449005
128	0.341181841
129	0.3405967339
130	0.3401830128
131	0.3396184361
132	0.3392413437
133	0.3387777499
134	0.3384257526
135	0.3380040007
136	0.3375413762
137	0.3368029083
138	0.3360216503
139	0.3353781241
140	0.334983911
141	0.3343443307
142	0.3338052235
143	0.3333617914
144	0.332797973
145	0.3324188072
146	0.3320669107
147	0.3314557717
148	0.3309306736
149	0.3303288813
150	0.3296910725
151	0.3290913727
152	0.3285597678
153	0.3282031567
154	0.3277627197
155	0.3271839038
156	0.3266085994
157	0.3261204358
158	0.3253533257
159	0.3249153069
160	0.3245168139
161	0.3237756975
162	0.3234446656
163	0.3230864094
164	0.3224730762
165	0.3219422775
166	0.3214956102
167	0.3207540304
168	0.3201290862
169	0.3195328279
170	0.3191335333
171	0.3185901793
172	0.3181265433
173	0.3175847018
174	0.3172016131
175	0.3166645638
176	0.3160106618
177	0.3155999345
178	0.3152045532
179	0.3145683695
180	0.3138689683
181	0.3134045441
182	0.3130199268
183	0.3127499034
184	0.3124515076
185	0.3115684534
186	0.3111510759
187	0.3108217974
188	0.3103964867
189	0.3099285119
190	0.3094701473
191	0.309032496
192	0.3086628804
193	0.308022772
194	0.3072807348
195	0.3067468422
196	0.3062901359
197	0.3057798695
198	0.3049632969
199	0.3044786309
200	0.3039064713
201	0.3033648708
202	0.3030249066
203	0.3025796818
204	0.3018992525
205	0.3015955389
206	0.301113956
207	0.3005114427
208	0.3000519773
209	0.2995397696
210	0.2992625415
211	0.2989409246
212	0.298416289
213	0.2980993452
214	0.2975161823
215	0.2971147453
216	0.296541091
217	0.2960262676
218	0.2956919171
219	0.2951097437
220	0.2945721197
221	0.2940885983
222	0.293703563
223	0.2931423876
224	0.2927094704
225	0.292318676
226	0.2919772861
227	0.2915407851
228	0.2911005749
229	0.290572495
230	0.2902794729
231	0.289676252
232	0.2893255672
233	0.2890113167
234	0.288783415
235	0.2882345405
236	0.2878266357
237	0.287455368
238	0.2869092893
239	0.2866310753
240	0.2862335296
241	0.2858698087
242	0.2854155934
243	0.2850934474
244	0.2845933128
245	0.2841501139
246	0.2836623039
247	0.2834440754
248	0.2829431993
249	0.2822266879
250	0.2816921133
251	0.2814600289
252	0.2809353234
253	0.2804231515
254	0.2800107629
255	0.279643269
256	0.2794002328
257	0.2785535268
258	0.2782122507
259	0.2780137238
260	0.2774307479
261	0.2770568987
262	0.2766444928
263	0.2762043753
264	0.2758245768
265	0.2755100796
266	0.2749325806
267	0.2745050355
268	0.2743599213
269	0.2740664682
270	0.2739351682
271	0.2734743135
272	0.2732791551
273	0.273028889
274	0.2727384521
275	0.2721958627
276	0.2717152406
277	0.2714308341
278	0.2710036761
279	0.2705809308
280	0.2704015088
281	0.2698453693
282	0.2696071118
283	0.2693856988
284	0.2690265853
285	0.2686904988
286	0.2682797832
287	0.2679192297
288	0.26765237
289	0.2672573323
290	0.2670055698
291	0.2665744706
292	0.2661156785
293	0.2655556439
294	0.2651767765
295	0.2648339594
296	0.2643882649
297	0.2639157576
298	0.2636073298
299	0.2630937052
300	0.2627454673
301	0.2625380192
302	0.2621070822
303	0.2616503924
304	0.2611274893
305	0.26067077
306	0.2600881399
307	0.2597695144
308	0.2593747928
309	0.2592317249
310	0.2588193172
311	0.2584390666
312	0.2579622326
313	0.2575000884
314	0.2571794627
315	0.2569880702
316	0.2564859057
317	0.2561301833
318	0.2555804042
319	0.2553130777
320	0.2547412603
321	0.2544511537
322	0.2539243117
323	0.2535621523
324	0.2531002284
325	0.2525731038
326	0.2520109092
327	0.2517604002
328	0.2513248787
329	0.2509204982
330	0.2503911252
331	0.2500142564
332	0.2495718195
333	0.2493047492
334	0.24873641
335	0.2485119363
336	0.2482061805
337	0.2480235524
338	0.247494836
339	0.2471914654
340	0.2469126075
341	0.2466497388
342	0.2463477533
343	0.2461919707
344	0.2460804486
345	0.2457792085
346	0.2454985566
347	0.245443072
348	0.2451452478
349	0.2446901919
350	0.2443371591
351	0.2438583774
352	0.2435995928
353	0.2432421723
354	0.2426733566
355	0.2424544941
356	0.2422142705
357	0.2418749397
358	0.2415548938
359	0.2410915441
360	0.2409773564
361	0.240532726
362	0.2402875788
363	0.2399114277
364	0.239601946
365	0.2393576999
366	0.2389688633
367	0.2385863163
368	0.2382548018
369	0.2379924117
370	0.237704393
371	0.2374097167
372	0.2371068309
373	0.2369848661
374	0.2366341123
375	0.2364112045
376	0.2360744987
377	0.2356691651
378	0.2353041597
379	0.2349150739
380	0.2345837388
381	0.234344875
382	0.2339852496
383	0.2336350215
384	0.2332431411
385	0.2331240084
386	0.2326529149
387	0.2324148101
388	0.2319832999
389	0.2318368291
390	0.2316192281
391	0.2311628828
392	0.2309070948
393	0.2304068198
394	0.2301562874
395	0.22987059
396	0.2296410078
397	0.2293283763
398	0.2290391521
399	0.2286114912
400	0.2282412368
401	0.2280100859
402	0.2275963009
403	0.2272844234
404	0.2270222914
405	0.2266033097
406	0.2263015173
407	0.225928071
408	0.2256375069
409	0.225313743
410	0.2250536124
411	0.2246636451
412	0.2243313265
413	0.2239137029
414	0.2234552683
415	0.2230915021
416	0.2229567314
417	0.2226494979
418	0.2224520914
419	0.2222463441
420	0.2217954627
421	0.2213398769
422	0.2209551238
423	0.2206441138
424	0.2203393504
425	0.2200010994
426	0.2196882752
427	0.2193816181
428	0.2190658843
429	0.2188059877
430	0.2184515973
431	0.2181377616
432	0.2179616992
433	0.2177114812
434	0.2174016118
435	0.2172252128
436	0.2169168985
437	0.2167166437
438	0.2163407677
439	0.2159681683
440	0.2154832734
441	0.2151520234
442	0.2150227222
443	0.2147431588
444	0.2145047388
445	0.2143211156
446	0.2141018168
447	0.213905318
448	0.2137217636
449	0.2135589466
450	0.2132653737
451	0.2130252126
452	0.2128435638
453	0.2125903852
454	0.2124807636
455	0.2122997233
456	0.2122709654
457	0.2121039849
458	0.2119307279
459	0.2115848102
460	0.2115009088
461	0.2112211898
462	0.2108601331
463	0.2106506071
464	0.2105127728
465	0.2103486174
466	0.2101599216
467	0.2100571136
468	0.2098297884
469	0.2095435483
470	0.2091941946
471	0.2089628891
472	0.2088505441
473	0.2084735218
474	0.2081295441
475	0.2079615825
476	0.2075525127
477	0.2071770316
478	0.2070021771
479	0.2069430826
480	0.2067506134
481	0.2063988881
482	0.2061702282
483	0.205864783
484	0.2056121013
485	0.2053533443
486	0.205097249
487	0.2048479493
488	0.2045315033
489	0.2042981336
490	0.2041444878
491	0.2039576575
492	0.2037869884
493	0.2034517403
494	0.2032872376
495	0.2032396591
496	0.2030906953
497	0.2029749343
498	0.202816889
499	0.2025069279
500	0.2021860152
501	0.20201571
502	0.2016637191
503	0.2015181314
504	0.2013219926
505	0.2010205359
506	0.2008236028
507	0.2006673234
508	0.2004489639
509	0.2001549083
510	0.1998407334
511	0.1995433514
512	0.1993326998
513	0.198992545
514	0.198670627
515	0.1984314652
516	0.1982323467
517	0.1981615643
518	0.1979068744
519	0.197671709
520	0.1974689254
521	0.1972460776
522	0.1970164671
523	0.1967836288
524	0.1964749611
525	0.1962444973
526	0.1960157831
527	0.1956864775
528	0.1954796676
529	0.1951546256
530	0.194772246
531	0.1944937032
532	0.194390549
533	0.1941608687
534	0.1937928852
535	0.1935606971
536	0.1933838102
537	0.1930719979
538	0.1929764677
539	0.19273105
540	0.1922014931
541	0.1919587232
542	0.191580327
543	0.1913553906
544	0.1910711715
545	0.1908762924
546	0.1908266052
547	0.190548237
548	0.1903408033
549	0.1900591335
550	0.1899796892
551	0.1897551297
552	0.1895432345
553	0.18920604
554	0.188849042
555	0.1886466854
556	0.188460839
557	0.1882323976
558	0.1878896139
559	0.1875925848
560	0.1872916745
561	0.1870829887
562	0.1868652271
563	0.1867607132
564	0.1865646388
565	0.1862468769
566	0.1861629046
567	0.1858463809
568	0.1856032314
569	0.1852318755
570	0.1850537994
571	0.1849356347
572	0.1847962142
573	0.1844813948
574	0.18421397
575	0.1839678692
576	0.1835465481
577	0.1833972305
578	0.1831353057
579	0.182963204
580	0.1827056379
581	0.1824302772
582	0.1822943065
583	0.182103504
584	0.1818395288
585	0.1815843153
586	0.181315001
587	0.181035891
588	0.1808855976
589	0.1808284064
590	0.1804857242
591	0.1803725679
592	0.1803059872
593	0.1800520785
594	0.1799462728
595	0.1798282915
596	0.1797184556
597	0.1795043675
598	0.1793215625
599	0.1791565528
600	0.1789193057
601	0.1785928639
602	0.1784552388
603	0.1784065141
604	0.1781119432
605	0.1779503741
606	0.1776571528
607	0.177476767
608	0.1772581445
609	0.1770281626
610	0.1769341849
611	0.1767399598
612	0.1764810574
613	0.1763099816
614	0.1761776645
615	0.1759842732
616	0.1756742818
617	0.1754148396
618	0.1752430317
619	0.1750429383
620	0.1745996395
621	0.1744097401
622	0.1740633295
623	0.1738674097
624	0.1736544893
625	0.173434601
626	0.1733290309
627	0.1732362672
628	0.1730705378
629	0.1727806325
630	0.1726357609
631	0.1725144082
632	0.1723312325
633	0.1722176768
634	0.1720490387
635	0.1718651302
636	0.1716660904
637	0.1715461733
638	0.1713601262
639	0.1711523167
640	0.1710044399
641	0.1708131256
642	0.1706349861
643	0.170543229
644	0.1704196133
645	0.1702802412
646	0.1698820249
647	0.1696925689
648	0.1695962592
649	0.169506611
650	0.1693019363
651	0.1689421309
652	0.168722667
653	0.1686378033
654	0.1683538128
655	0.1681216569
656	0.1679563756
657	0.1677578583
658	0.1674117086
659	0.1672620139
660	0.1669952876
661	0.1668317265
662	0.1666415415
663	0.166488147
664	0.1663999041
665	0.1661096517
666	0.1659530863
667	0.1657934454
668	0.1656903378
669	0.1655763814
670	0.1653310939
671	0.1651402053
672	0.1650461758
673	0.1650266113
674	0.1647640874
675	0.1646786615
676	0.1645328838
677	0.1642050013
678	0.1639812999
679	0.1638491889
680	0.1633562708
681	0.1631522857
682	0.1629667163
683	0.1628059664
684	0.1627681214
685	0.1627583381
686	0.1626183406
687	0.1624269585
688	0.1622886679
689	0.1622525935
690	0.1620834904
691	0.161844134
692	0.1617818971
693	0.161661142
694	0.1616112411
695	0.1614635005
696	0.1612026166
697	0.1610060099
698	0.1608347676
699	0.160767016
700	0.160406875
701	0.1602288458
702	0.1600958866
703	0.159984891
704	0.159694656
705	0.1595261963
706	0.1593286897
707	0.1591253983
708	0.1590276012
709	0.1589532139
710	0.1588193143
711	0.1586320342
712	0.1583746409
713	0.1582748667
714	0.1581680316
715	0.1579836994
716	0.1577584108
717	0.1574987936
718	0.1573046952
719	0.1570555066
720	0.1570197738
721	0.1567643154
722	0.1566612499
723	0.1563945697
724	0.1562882193
725	0.1560437815
726	0.1559490602
727	0.1558161371
728	0.1555424143
729	0.1554234189
730	0.1551627544
731	0.1551149749
732	0.1551112765
733	0.1549901924
734	0.1548463579
735	0.1546275659
736	0.1543450594
737	0.1540706181
738	0.1538281472
739	0.1534810131
740	0.1534716734
741	0.1532449668
742	0.153003538
743	0.152775102
744	0.1525557265
745	0.1523988476
746	0.1522141629
747	0.1519609154
748	0.1519020257
749	0.1516970113
750	0.1515166061
751	0.1512986625
752	0.1511042579
753	0.1508996387
754	0.150709789
755	0.1503517671
756	0.1502776473
757	0.1501306682
758	0.149912754
759	0.1498101585
760	0.1496195811
761	0.1495084129
762	0.1494582206
763	0.1492448908
764	0.1491344119
765	0.1489120828
766	0.1487378739
767	0.1485480136
768	0.1483257471
769	0.1481438571
770	0.1480108508
771	0.1476738054
772	0.147663066
773	0.1476520252
774	0.1476109231
775	0.1475028442
776	0.1474948744
777	0.1474057021
778	0.1472625902
779	0.1470592291
780	0.1470131403
781	0.1469087062
782	0.1467498319
783	0.1465266926
784	0.1464190497
785	0.1461995176
786	0.1460659712
787	0.1459446042
788	0.1458129964
789	0.1457980569
790	0.1455969503
791	0.1454518195
792	0.1452942068
793	0.1452674761
794	0.1449690516
795	0.1447244904
796	0.1443095486
797	0.1440410753
798	0.1438146012
799	0.1436721919
800	0.1435539574
801	0.1433714532
802	0.1432571564
803	0.1430974522
804	0.1430290973
805	0.1429576626
806	0.142807361
807	0.1426546761
808	0.1424858816
809	0.1422260704
810	0.1421327851
811	0.1420279813
812	0.1418011091
813	0.1415664377
814	0.1414439347
815	0.1412532147
816	0.1410628649
817	0.1408449716
818	0.140704298
819	0.1403679698
820	0.1402003357
821	0.1399948148
822	0.1397695991
823	0.1396924961
824	0.1395108333
825	0.1394248142
826	0.1393661358
827	0.1392195981
828	0.1390275305
829	0.138842312
830	0.1387576484
831	0.1385662754
832	0.1384229386
833	0.1382201488
834	0.1379695557
835	0.1378410879
836	0.1376651025
837	0.1376615246
838	0.1375737017
839	0.1373809256
840	0.1370987774
841	0.1368994836
842	0.1367615199
843	0.1366757671
844	0.1365662503
845	0.1365196042
846	0.136303961
847	0.1362597276
848	0.1360108767
849	0.1358713693
850	0.1357726459
851	0.1356133582
852	0.1354121976
853	0.135302774
854	0.1351220635
855	0.1351171289
856	0.1349241949
857	0.1347046039
858	0.1345363562
859	0.1343807725
860	0.1342583053
861	0.1341930206
862	0.1340639095
863	0.1338368693
864	0.1336612702
865	0.1335445487
866	0.1334366641
867	0.1333633299
868	0.1332315282
869	0.1331000331
870	0.1330342883
871	0.1329220401
872	0.1328903041
873	0.1327754425
874	0.1326205296
875	0.1326013825
876	0.1325719993
877	0.1324237789
878	0.1323115335
879	0.1321953358
880	0.1320028638
881	0.1317209654
882	0.1315646275
883	0.1314511483
884	0.1313140054
885	0.1312185766
886	0.1310988198
887	0.1310444633
888	0.1310029732
889	0.1308687728
890	0.1307177335
891	0.1306844044
892	0.1305138485
893	0.1303426947
894	0.1302133982
895	0.1301081201
896	0.1299222568
897	0.129855729
898	0.1297066096
899	0.1296116159
900	0.1294911591
901	0.1294094839
902	0.129379911
903	0.1292290861
904	0.1291084342
905	0.1289370093
906	0.128785397
907	0.1286964557
908	0.1286253681
909	0.1284977481
910	0.1283895401
911	0.1283537746
912	0.1282250512
913	0.1280611847
914	0.1278522929
915	0.1278248775
916	0.1276359838
917	0.1275731768
918	0.1274884825
919	0.1272922357
920	0.1271718903
921	0.1270771146
922	0.1270408586
923	0.1269006978
924	0.1267360734
925	0.1266741647
926	0.1265643202
927	0.1264986024
928	0.1263799102
929	0.1262168747
930	0.1260065527
931	0.1259462843
932	0.1258097175
