iter	Passed	Remaining
0	138	138859
1	141	70599
2	143	47669
3	145	36164
4	147	29279
5	149	24756
6	151	21546
7	153	19089
8	156	17186
9	157	15634
10	160	14388
11	161	13337
12	164	12486
13	166	11706
14	168	11057
15	170	10480
16	172	9955
17	173	9488
18	175	9076
19	178	8726
20	180	8409
21	182	8098
22	184	7816
23	185	7554
24	187	7318
25	189	7091
26	190	6882
27	192	6694
28	195	6529
29	197	6371
30	198	6211
31	200	6061
32	202	5924
33	203	5790
34	205	5666
35	207	5550
36	210	5474
37	212	5369
38	213	5270
39	215	5176
40	217	5085
41	219	4996
42	220	4915
43	223	4851
44	225	4780
45	227	4709
46	229	4654
47	231	4590
48	233	4523
49	234	4461
50	236	4398
51	238	4342
52	240	4297
53	242	4247
54	244	4193
55	245	4141
56	247	4091
57	248	4043
58	250	3999
59	252	3954
60	254	3920
61	256	3883
62	258	3841
63	260	3802
64	261	3765
65	263	3728
66	265	3692
67	266	3657
68	269	3633
69	271	3609
70	273	3575
71	274	3542
72	276	3510
73	278	3482
74	280	3454
75	281	3427
76	283	3399
77	285	3375
78	287	3356
79	289	3334
80	292	3313
81	294	3294
82	295	3269
83	297	3248
84	300	3231
85	302	3215
86	304	3196
87	306	3179
88	308	3159
89	310	3139
90	312	3119
91	314	3106
92	317	3092
93	319	3075
94	321	3059
95	322	3041
96	324	3023
97	326	3005
98	328	2987
99	328	2959
100	331	2946
101	333	2937
102	335	2924
103	338	2912
104	340	2898
105	341	2883
106	344	2871
107	346	2858
108	348	2848
109	351	2839
110	353	2828
111	355	2816
112	358	2811
113	360	2803
114	363	2801
115	367	2804
116	370	2794
117	372	2786
118	376	2790
119	380	2788
120	383	2784
121	386	2780
122	389	2777
123	392	2771
124	394	2763
125	396	2753
126	398	2742
127	400	2728
128	402	2715
129	404	2704
130	405	2691
131	407	2682
132	410	2675
133	412	2667
134	414	2654
135	416	2643
136	418	2637
137	420	2628
138	422	2620
139	425	2615
140	429	2613
141	431	2606
142	433	2597
143	435	2588
144	437	2578
145	439	2571
146	441	2561
147	443	2555
148	446	2549
149	448	2543
150	450	2535
151	452	2526
152	459	2542
153	461	2534
154	463	2527
155	465	2519
156	467	2510
157	469	2504
158	473	2506
159	476	2502
160	479	2496
161	481	2489
162	483	2482
163	487	2483
164	489	2477
165	493	2478
166	495	2471
167	497	2463
168	499	2454
169	502	2453
170	506	2453
171	508	2448
172	510	2441
173	512	2433
174	514	2424
175	517	2421
176	520	2421
177	523	2417
178	525	2409
179	527	2402
180	529	2396
181	533	2399
182	536	2393
183	538	2390
184	540	2382
185	543	2376
186	545	2371
187	549	2374
188	552	2372
189	554	2365
190	556	2359
191	558	2352
192	561	2346
193	564	2345
194	568	2347
195	570	2340
196	572	2333
197	574	2327
198	576	2321
199	579	2316
200	582	2316
201	585	2313
202	587	2307
203	589	2301
204	591	2294
205	594	2289
206	598	2291
207	600	2288
208	603	2283
209	604	2275
210	606	2268
211	608	2261
212	611	2258
213	613	2253
214	616	2250
215	618	2244
216	620	2237
217	621	2230
218	623	2223
219	625	2219
220	628	2215
221	630	2209
222	632	2202
223	633	2194
224	635	2189
225	637	2182
226	638	2175
227	641	2172
228	643	2167
229	646	2163
230	647	2156
231	649	2150
232	651	2144
